curso_academico,cod_universidad,des_universidad,cod_departamento,des_departamento,cod_municipio,des_municipio,cod_campus,des_campus,des_situacion_departamento,fecha_desde_situacion_departamento
2021-22,010,Universidad-Complutense-de-Madrid,55000625,Economia-Aplicada-I,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000626,Economia-Aplicada-II,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000627,Economia-Aplicada-III,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000628,Economia-Aplicada-VI,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000629,Economia-Financiera-y-Contabilidad-I,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000630,Economia-Financiera-y-Contabilidad-II,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000631,Organizacion-de-Empresas,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000632,Historia-e-Instituciones-Economicas-I,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000633,Periodismo-I,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000634,Periodismo-II,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000635,Periodismo-III,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000636,Periodismo-IV,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000637,Comunicacion-Audiovisual-y-Publicidad-I,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000638,Comunicacion-Audiovisual-y-Publicidad-II,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000639,Filologia-Espaniola-III,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000640,Sociologia-VI,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000641,Historia-de-la-Comunicacion-Social,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000642,Derecho-Penal,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000643,Filosofia-del-Derecho-Moral-y-Politica-I,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000644,Economia-Aplicada-IV,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000645,Derecho-Financiero-y-Tributario,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000646,Derecho-Romano,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000647,Derecho-Eclesiastico-del-Estado,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000648,Historia-del-Derecho-y-de-las-Instituciones,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000649,Derecho-Administrativo,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000650,Derecho-Mercantil,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000651,Derecho-del-Trabajo-y-de-la-Seguridad-Social,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000652,Derecho-Internacional-Publico-y-Derecho-Internacional-Privado,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000653,Derecho-Constitucional,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000654,Derecho-Civil,28079,MADRID,01001,Ciudad-Universitaria,Activo,1900-01-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000655,Derecho-Procesal,28079,MADRID,01001,Ciudad-Universitaria,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000656,Sociologia-I,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000657,Sociologia-II,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
2021-22,010,Universidad-Complutense-de-Madrid,55000658,Sociologia-III,28115,POZUELO-DE-ALARCON,01002,Somosaguas,Extinguido-en-el-curso-de-referencia,2017-11-01T00:00Z
